127.0.0.1 - - [20/Apr/2017:11:33:38 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:38:18 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:38:18 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:38:18 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:38:19 +0530] "GET /PhilosophiaFrontEnd/selManageProducts HTTP/1.1" 200 12449
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:38:19 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:38:19 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:38:19 +0530] "GET /PhilosophiaFrontEnd/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:38:19 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:38:19 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:38:19 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:38:19 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:38:19 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:38:20 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:38:20 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:38:20 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:38:20 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:18 +0530] "GET /PhilosophiaFrontEnd/selManageCategories HTTP/1.1" 200 9008
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:18 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:18 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:18 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:18 +0530] "GET /PhilosophiaFrontEnd/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:18 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:18 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:18 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:18 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:18 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:18 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:18 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:18 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:50 +0530] "GET /PhilosophiaFrontEnd/selManageCategories HTTP/1.1" 200 8927
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:50 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:50 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:50 +0530] "GET /PhilosophiaFrontEnd/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:50 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:51 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:51 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:51 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:51 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:51 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:51 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:51 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:51 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:53 +0530] "GET /PhilosophiaFrontEnd/goAdmin HTTP/1.1" 200 6268
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:53 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:53 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:53 +0530] "GET /PhilosophiaFrontEnd/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:53 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:53 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:53 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:53 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:53 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:53 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:53 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:53 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:53 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:56 +0530] "GET /PhilosophiaFrontEnd/selManageCategories HTTP/1.1" 200 8927
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:56 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:56 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:56 +0530] "GET /PhilosophiaFrontEnd/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:56 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:56 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:56 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:56 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:56 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:56 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:56 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:56 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:40:56 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:35 +0530] "GET /PhilosophiaFrontEnd/selManageSuppliers HTTP/1.1" 200 10439
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:36 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:36 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:36 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:36 +0530] "GET /PhilosophiaFrontEnd/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:37 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:37 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:37 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:37 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:37 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:37 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:37 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:37 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:41 +0530] "GET /PhilosophiaFrontEnd/selManageProducts HTTP/1.1" 200 12329
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:41 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:41 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:41 +0530] "GET /PhilosophiaFrontEnd/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:41 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:41 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:41 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:41 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:41 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:41 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:41 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:41 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:41 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:56 +0530] "POST /PhilosophiaFrontEnd/j_spring_security_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:56 +0530] "GET /PhilosophiaFrontEnd/secure_logout HTTP/1.1" 200 8353
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:56 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:56 +0530] "GET /PhilosophiaFrontEnd/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:56 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:56 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:56 +0530] "GET /PhilosophiaFrontEnd/Resources/Images/i2.jpg HTTP/1.1" 200 69110
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:56 +0530] "GET /PhilosophiaFrontEnd/Resources/Images/i1.jpg HTTP/1.1" 200 390598
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:56 +0530] "GET /PhilosophiaFrontEnd/Resources/Images/i3.jpg HTTP/1.1" 200 196690
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:56 +0530] "GET /PhilosophiaFrontEnd/Resources/Images/i4.jpg HTTP/1.1" 200 130186
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:57 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:57 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:57 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:57 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:57 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:57 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:57 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Apr/2017:11:41:57 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 992
